"Variable","Description","Integrative_Estimator_RPDR","Integrative_Estimator_VA","Local_Estimator_RPDR","Local_Estimator_VA"
"Other lab:1400007502","glu-u",0,1.75976409707692e-05,0,0
"Other lab:1400009900","ur. bld",0,0.0505696699052663,0,0.0465450434960258
"Other lab:1400010931","uglu",0,0.00168636865035185,0,0.00309800129541019
"Other lab:1400011559","leu ase",0,2.69759742403365e-05,0,0
"Other lab:1400013142","uric ac",0,0.0063296210066933,0,0.0161114405124295
"Other lab:1400014142","urobil",0,0.0461495272663692,0,0.023613366636359
"Other lab:1400017613","wbc/hpf",0,0.0197979941308895,0,0.00816032844441872
"Other lab:1400018184","protein",0,0.000137033059993767,0,0
"Other lab:1400018361","ur.bld.",0,0.0742104889717833,0,0.0545671414316075
"Other lab:1400021384","ur.glu.",0,5.05859250539198e-06,0,0.0153555406282819
"Other lab:1400025951","glu",0,0.0452806265096823,0,0.0374328285510869
"Other lab:1400027654","leu ase",0,0.0797040619430137,0,0.0556989921767656
"Other lab:1400030610","protein",0,0.0732506295601024,0,0.0363547411091557
"Other lab:1400032577","glu",0,0.00150601562771361,0,0.0034011761151007
"Other lab:1400033124","occ.bld",0,0.0780816552419648,0,0.0846222386583137
"Other lab:1400033361","ur.uro.",0,0.000593303649017377,0,0
"Other lab:1400034117","leu est",0,0.000896539157148681,0,0
"Other lab:1400034677","urobili",0,0.000293825165463237,0,0.000353687297515498
"Other lab:1400035521","leu est",0,0.000311424869705191,0,0
"Other lab:1400035956","urobili",0,0.0010685219449689,0,0.00949636098180964
"Other lab:1400035960","protein",0,2.03220312105189e-05,0,0
"Other lab:1400036293","leu ase",0,0.000321855490453141,0,0.000126497173623547
"Other lab:1400036306","ur. bld",0,0,0,0
"Other lab:1400037662","urobili",0,0.00136461127647137,0,0.00502197510799035
"Other lab:1400037991","leu ase",0,1.79116229107721e-06,0,0
"Other lab:1400040225","glu",0,0,0,0
"Other lab:1400042612","glu",0,0.000468240642425288,0,0.000239694567082739
"Other lab:1400045459","ur. bld",0,0,0,3.75403132809344e-07
"Other lab:1400046357","glucose",0,3.67767796205027e-05,0,6.17065483299845e-07
"Other lab:1400055595","leu ase",0,1.5118719914099e-06,0,3.62465195678651e-05
"Other lab:1400056477","blood",0,0,0,0
"Other lab:1400057199","ur.prot",0,0,0,0
"Other lab:1400057432","urobili",0,0,0,0
"Other lab:1400058642","urobili",0,0,0,0.00219368595809398
"Other lab:1400058644","protein",0,0,0,0
"Other lab:1400059608","ur. bld",0,0,0,0
"Other lab:1400065490","glu",0,0,0,0
"Other lab:1400068812","protein",0,0,0,0
"Other lab:1400074839","wbc/hpf",0,0.00831925523716496,0,0.00769256213601369
"Other lab:1400076486","protein",0,0,0,0
"Other lab:1400079067","wbcclmp",0,0,0,0.00327395047627568
